run_id,seed,batch_size,repetition,stage,duration_ns,record_count,late_count,provenance
python-20260723T020649Z,621553246858843935,16,36,proof_verify,9434,16,1,measured
python-20260723T020649Z,621553246858843935,16,37,verify_batch,1741222,16,1,measured
python-20260723T020649Z,621553246858843935,16,37,proof_verify,10185,16,1,measured
python-20260723T020649Z,621553246858843935,16,37,signature_admission_batch,1870374,16,1,measured
python-20260723T020649Z,621553246858843935,16,37,sign_batch,583108,16,1,measured
python-20260723T020649Z,621553246858843935,16,37,merkle_build,17076,16,1,measured
python-20260723T020649Z,621553246858843935,16,37,late_rebuild,36965,16,1,measured
python-20260723T020649Z,621553246858843935,16,38,sign_batch,604199,16,1,measured
python-20260723T020649Z,621553246858843935,16,38,verify_batch,1721873,16,1,measured
python-20260723T020649Z,621553246858843935,16,38,signature_admission_batch,1823585,16,1,measured
python-20260723T020649Z,621553246858843935,16,38,merkle_build,16665,16,1,measured
python-20260723T020649Z,621553246858843935,16,38,proof_verify,10246,16,1,measured
python-20260723T020649Z,621553246858843935,16,38,late_rebuild,35422,16,1,measured
python-20260723T020649Z,621553246858843935,16,39,verify_batch,2231341,16,1,measured
python-20260723T020649Z,621553246858843935,16,39,late_rebuild,74190,16,1,measured
python-20260723T020649Z,621553246858843935,16,39,merkle_build,25227,16,1,measured
python-20260723T020649Z,621553246858843935,16,39,sign_batch,789445,16,1,measured
python-20260723T020649Z,621553246858843935,16,39,signature_admission_batch,2274346,16,1,measured
python-20260723T020649Z,621553246858843935,16,39,proof_verify,17496,16,1,measured
python-20260723T020649Z,621553246858843935,16,40,late_rebuild,42153,16,1,measured
python-20260723T020649Z,621553246858843935,16,40,verify_batch,1768723,16,1,measured
python-20260723T020649Z,621553246858843935,16,40,merkle_build,16835,16,1,measured
python-20260723T020649Z,621553246858843935,16,40,signature_admission_batch,1844946,16,1,measured
python-20260723T020649Z,621553246858843935,16,40,proof_verify,10456,16,1,measured
python-20260723T020649Z,621553246858843935,16,40,sign_batch,585942,16,1,measured
python-20260723T020649Z,621553246858843935,16,41,sign_batch,578581,16,1,measured
python-20260723T020649Z,621553246858843935,16,41,proof_verify,10055,16,1,measured
python-20260723T020649Z,621553246858843935,16,41,signature_admission_batch,1830665,16,1,measured
python-20260723T020649Z,621553246858843935,16,41,late_rebuild,38768,16,1,measured
python-20260723T020649Z,621553246858843935,16,41,merkle_build,14391,16,1,measured
python-20260723T020649Z,621553246858843935,16,41,verify_batch,1743656,16,1,measured
python-20260723T020649Z,621553246858843935,16,42,proof_verify,10115,16,1,measured
python-20260723T020649Z,621553246858843935,16,42,signature_admission_batch,1848221,16,1,measured
python-20260723T020649Z,621553246858843935,16,42,merkle_build,16405,16,1,measured
python-20260723T020649Z,621553246858843935,16,42,sign_batch,729055,16,1,measured
python-20260723T020649Z,621553246858843935,16,42,verify_batch,1900989,16,1,measured
python-20260723T020649Z,621553246858843935,16,42,late_rebuild,46088,16,1,measured
python-20260723T020649Z,621553246858843935,16,43,proof_verify,10676,16,1,measured
python-20260723T020649Z,621553246858843935,16,43,merkle_build,14732,16,1,measured
python-20260723T020649Z,621553246858843935,16,43,signature_admission_batch,1889903,16,1,measured
python-20260723T020649Z,621553246858843935,16,43,sign_batch,580835,16,1,measured
python-20260723T020649Z,621553246858843935,16,43,verify_batch,1797876,16,1,measured
python-20260723T020649Z,621553246858843935,16,43,late_rebuild,45478,16,1,measured
python-20260723T020649Z,621553246858843935,16,44,late_rebuild,34181,16,1,measured
python-20260723T020649Z,621553246858843935,16,44,signature_admission_batch,2006897,16,1,measured
python-20260723T020649Z,621553246858843935,16,44,proof_verify,13510,16,1,measured
python-20260723T020649Z,621553246858843935,16,44,merkle_build,16665,16,1,measured
python-20260723T020649Z,621553246858843935,16,44,verify_batch,1759769,16,1,measured
python-20260723T020649Z,621553246858843935,16,44,sign_batch,630328,16,1,measured
python-20260723T020649Z,621553246858843935,16,45,proof_verify,11186,16,1,measured
python-20260723T020649Z,621553246858843935,16,45,sign_batch,593564,16,1,measured
python-20260723T020649Z,621553246858843935,16,45,verify_batch,1755483,16,1,measured
python-20260723T020649Z,621553246858843935,16,45,merkle_build,18487,16,1,measured
python-20260723T020649Z,621553246858843935,16,45,signature_admission_batch,1879588,16,1,measured
python-20260723T020649Z,621553246858843935,16,45,late_rebuild,42623,16,1,measured
python-20260723T020649Z,621553246858843935,16,46,proof_verify,9874,16,1,measured
python-20260723T020649Z,621553246858843935,16,46,late_rebuild,34371,16,1,measured
python-20260723T020649Z,621553246858843935,16,46,sign_batch,584771,16,1,measured
python-20260723T020649Z,621553246858843935,16,46,verify_batch,1851826,16,1,measured
python-20260723T020649Z,621553246858843935,16,46,merkle_build,19679,16,1,measured
python-20260723T020649Z,621553246858843935,16,46,signature_admission_batch,1903974,16,1,measured
